INFO 2026-05-03 15:31:26,602 autoreload 22860 24620 Watching for file changes with StatReloader
INFO 2026-05-03 17:41:52,754 log 25712 20856 "GET /api/v1/auth/notifications/ HTTP/1.1" 200 509
INFO 2026-05-03 17:42:15,422 log 25712 20596 "GET /api/v1/courses/catalog/ HTTP/1.1" 200 9270
INFO 2026-05-03 17:42:15,493 log 25712 20596 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2026-05-03 17:42:15,506 log 25712 12140 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2026-05-03 17:42:15,506 log 25712 20596 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2026-05-03 17:42:15,523 log 25712 12140 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2026-05-03 17:42:15,528 log 25712 8124 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2026-05-03 17:42:15,535 log 25712 20596 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2026-05-03 17:42:15,540 log 25712 12140 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2026-05-03 17:42:15,543 log 25712 17948 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2026-05-03 17:42:15,547 log 25712 8124 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2026-05-03 17:42:15,550 log 25712 15108 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2026-05-03 17:42:15,551 log 25712 10936 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2026-05-03 17:42:15,555 log 25712 20596 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2026-05-03 17:42:15,606 log 25712 20596 "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
WARNING 2026-05-03 17:42:15,855 log 25712 20596 Not Found: /favicon.ico
WARNING 2026-05-03 17:42:15,856 log 25712 20596 "GET /favicon.ico HTTP/1.1" 404 3760
INFO 2026-05-03 17:42:27,511 log 25712 14296 "GET /api/v1/courses/catalog/ HTTP/1.1" 200 9270
INFO 2026-05-03 17:42:27,671 log 25712 14296 "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
INFO 2026-05-03 17:46:41,266 log 25712 16268 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:46:41,268 log 25712 9724 "GET /api/v1/courses/catalog/ HTTP/1.1" 200 437
INFO 2026-05-03 17:46:41,577 log 25712 25716 "GET /api/v1/auth/notifications/ HTTP/1.1" 200 509
INFO 2026-05-03 17:47:37,139 log 25712 25716 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:47:37,341 log 25712 25716 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:47:37,409 log 25712 25716 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:47:37,443 log 25712 25716 "OPTIONS /api/v1/courses/catalog/ HTTP/1.1" 200 0
INFO 2026-05-03 17:47:37,463 log 25712 25716 "GET /api/v1/courses/catalog/ HTTP/1.1" 200 471
INFO 2026-05-03 17:47:37,485 log 25712 25716 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:47:37,491 log 25712 20240 "GET /api/v1/auth/notifications/ HTTP/1.1" 200 509
INFO 2026-05-03 17:47:37,644 log 25712 20240 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:47:38,438 log 25712 27024 "GET /api/v1/auth/profile/ HTTP/1.1" 200 244
INFO 2026-05-03 17:47:38,550 log 25712 27024 "OPTIONS /api/v1/courses/catalog/ HTTP/1.1" 200 0
INFO 2026-05-03 17:47:38,560 log 25712 27024 "GET /api/v1/auth/profile/ HTTP/1.1" 200 244
INFO 2026-05-03 17:47:38,573 log 25712 27024 "GET /api/v1/courses/catalog/ HTTP/1.1" 200 471
INFO 2026-05-03 17:47:38,583 log 25712 27024 "GET /api/v1/auth/notifications/ HTTP/1.1" 200 251
INFO 2026-05-03 17:50:51,268 log 25712 27024 "GET /api/v1/gamification/progress/ HTTP/1.1" 200 661
INFO 2026-05-03 17:50:51,327 log 25712 27024 "GET /api/v1/auth/notifications/ HTTP/1.1" 200 251
INFO 2026-05-03 17:50:51,941 log 25712 27024 "GET /api/v1/courses/catalog/ HTTP/1.1" 200 471
